id,name,ram,disk,bandwidth,price,driver_name
m6a.48xlarge,m6a.48xlarge,786432,0,50000.0,8.2944,Amazon EC2
m6a.4xlarge,m6a.4xlarge,65536,0,12500.0,0.0,Amazon EC2
m6a.8xlarge,m6a.8xlarge,131072,0,12500.0,1.52064,Amazon EC2
m6a.large,m6a.large,8192,0,12500.0,0.0,Amazon EC2
m6a.xlarge,m6a.xlarge,16384,0,12500.0,0.0,Amazon EC2
m6g.12xlarge,m6g.12xlarge,196608,0,20.0,0.0,Amazon EC2
m6g.16xlarge,m6g.16xlarge,262144,0,25.0,2.6112,Amazon EC2
m6g.2xlarge,m6g.2xlarge,32768,0,10.0,0.0,Amazon EC2
m6g.4xlarge,m6g.4xlarge,65536,0,10.0,0.6528,Amazon EC2
m6g.8xlarge,m6g.8xlarge,131072,0,12.0,0.0,Amazon EC2
m6g.large,m6g.large,8192,0,10.0,0.0816,Amazon EC2
m6g.medium,m6g.medium,4096,0,10.0,0.0,Amazon EC2
m6g.xlarge,m6g.xlarge,16384,0,10.0,0.0,Amazon EC2
m6gd.12xlarge,m6gd.12xlarge,196608,2850,20.0,2.2998,Amazon EC2
m6gd.16xlarge,m6gd.16xlarge,262144,3800,25.0,3.0664,Amazon EC2
m6gd.2xlarge,m6gd.2xlarge,32768,475,10.0,0.3616,Amazon EC2
m6gd.4xlarge,m6gd.4xlarge,65536,950,10.0,0.0,Amazon EC2
m6gd.8xlarge,m6gd.8xlarge,131072,1900,12.0,0.0,Amazon EC2
m6gd.large,m6gd.large,8192,118,10.0,0.0,Amazon EC2
m6gd.medium,m6gd.medium,4096,59,10.0,0.0,Amazon EC2
